"pip.1"	"pip.2"
"482"	0.7	0.58
"483"	0.5	0.38
"484"	0.19	0.11
"485"	0.94	0.75
"486"	0.42	0.22
"487"	0.13	0.25
"488"	0.39	0.36
"489"	0.51	0.48
"490"	0.07	0.17
"491"	0.52	0.43
"492"	0.44	0.4
"493"	0.76	0.61
"494"	0.95	0.73
"495"	0.81	0.67
"496"	0.11	0.03
"497"	0.42	0.36
"498"	0.23	0.24
"499"	0.1	0.18
"500"	0.26	0.32
"501"	0.52	0.39
"502"	0.18	0.26
"503"	0.92	0.57
"504"	0.71	0.57
"505"	0.12	0.24
"506"	0.69	0.79
"507"	0.12	0.2
"508"	0.77	0.56
"509"	0.29	0.22
"510"	0.32	0.31
"511"	0.44	0.6
"512"	0.92	0.78
"513"	0.03	0.14
"514"	0.2	0.17
"515"	0.16	0.12
"516"	0.39	0.19
"517"	0.18	0.23
"518"	0.4	0.29
"519"	0.3	0.32
"520"	0.18	0.19
"521"	0.28	0.26
"522"	0.4	0.36
"523"	0.23	0.32
"524"	0.28	0.35
"525"	0.83	0.64
"526"	0.68	0.43
"527"	0.92	0.83
"528"	0.47	0.52
"529"	0.58	0.74
"530"	0.96	0.78
"531"	0.13	0.15
"532"	0.12	0.09
"533"	0.71	0.84
"534"	0.18	0.21
"535"	0.22	0.34
"536"	1	0.88
"537"	0.19	0.23
"538"	0.21	0.26
"539"	0.23	0.17
"540"	0.2	0.14
"541"	0.96	0.84
"542"	0.1	0.38
"543"	0.09	0.26
"544"	0.14	0.2
"545"	0.6	0.59
"546"	0.81	0.65
"547"	0.25	0.45
"548"	0.14	0.3
"549"	0.21	0.18
"550"	0.98	0.85
"551"	0.54	0.7
"552"	0.53	0.46
"553"	0.73	0.43
"554"	0.12	0.08
"555"	0.21	0.16
"556"	0.11	0.13
"557"	0.06	0.2
"558"	0.72	0.78
"559"	0.91	0.71
"560"	0.93	0.92
"561"	0.3	0.42
"562"	0.14	0.16
"563"	0.16	0.17
"564"	0.38	0.28
"565"	0.13	0.2
"566"	0.19	0.53
"567"	0.76	0.63
"568"	0.54	0.5
"569"	0.38	0.37
"570"	0.6	0.46
"571"	0.35	0.34
"572"	0.74	0.47
"573"	0.21	0.29
"574"	0.69	0.64
"575"	0.23	0.35
"576"	0.99	0.71
"577"	0.43	0.49
"578"	0.9	0.8
"579"	0.88	0.67
"580"	0.06	0.16
"581"	0.47	0.32
"582"	0.35	0.34
"583"	0.97	0.6
"584"	0.86	0.74
"585"	0.09	0.14
"586"	0.66	0.41
"587"	0.94	0.62
"588"	0.48	0.57
"589"	0.59	0.49
"590"	0.23	0.16
"591"	0.22	0.3
"592"	0.81	0.59
"593"	0.66	0.54
"594"	1	0.75
"595"	0.08	0.29
"596"	0.72	0.55
"597"	0.2	0.16
"598"	0.74	0.74
"599"	0.91	0.82
"600"	0.56	0.73
"601"	0.16	0.15
"602"	0.31	0.35
"603"	0.79	0.65
"604"	0.76	0.86
"605"	0.83	0.68
"606"	0.58	0.46
"607"	0.07	0.23
"608"	0.34	0.18
"609"	0.79	0.64
"610"	0.32	0.41
"611"	0.61	0.71
"612"	0.25	0.18
"613"	0.85	0.71
"614"	0.16	0.2
"615"	0.86	0.64
"616"	0.28	0.25
"617"	0.93	0.7
"618"	0.9	0.76
"619"	0.86	0.69
"620"	0.18	0.55
"621"	0.18	0.21
"622"	0.47	0.44
"623"	0.35	0.24
"624"	0.06	0.1
"625"	0.03	0.11
"626"	0.13	0.09
"627"	0.96	0.8
"628"	0.88	0.79
"629"	0.17	0.17
"630"	0.06	0.08
"631"	0.38	0.47
"632"	0.29	0.37
"633"	0.45	0.36
"634"	0.63	0.41
"635"	0.13	0.26
"636"	0.08	0.44
"637"	0.58	0.49
"638"	0.05	0.19
"639"	0.55	0.37
"640"	0.83	0.78
"641"	0.43	0.25
"642"	0.73	0.58
"643"	0.15	0.09
"644"	0.34	0.47
"645"	0.13	0.19
"646"	0.08	0.09
"647"	0.19	0.24
"648"	0.14	0.13
"649"	0.33	0.21
"650"	0.29	0.45
"651"	0.57	0.3
"652"	0.78	0.62
"653"	0.19	0.36
"654"	0.12	0.25
"655"	0.73	0.61
"656"	0.49	0.45
"657"	0.14	0.16
"658"	0.48	0.48
"659"	0.93	0.7
"660"	0.21	0.19
"661"	0.15	0.12
"662"	0.73	0.68
"663"	0.97	0.85
"664"	0.89	0.79
"665"	0.62	0.57
"666"	0.44	0.27
"667"	0.11	0.33
"668"	0.09	0.25
"669"	1	0.9
"670"	0.86	0.75
"671"	0.52	0.47
"672"	0.41	0.32
"673"	0.14	0.21
"674"	0.19	0.12
"675"	0.57	0.53
"676"	0.16	0.3
"677"	0.13	0.15
"678"	0.29	0.23
"679"	0.84	0.71
"680"	0.28	0.34
"681"	0.41	0.59
"682"	0.67	0.61
"683"	0.12	0.27
"684"	0.42	0.39
"685"	0.15	0.27
"686"	0.15	0.48
"687"	0.72	0.43
"688"	0.11	0.34
"689"	0.36	0.4
"690"	0.58	0.48
"691"	0.08	0.16
"692"	0.59	0.46
"693"	0.09	0.18
"694"	0.1	0.22
"695"	0.46	0.61
"696"	0.45	0.29
"697"	0.27	0.31
"698"	0.88	0.66
"699"	0.61	0.48
"700"	0.87	0.79
"701"	0.57	0.34
"702"	0.56	0.41
"703"	0.47	0.66
"704"	0.2	0.11
"705"	0.13	0.12
"706"	0.12	0.42
"707"	0.3	0.29
"708"	0.75	0.65
"709"	0.23	0.27
"710"	0.69	0.54
"711"	0.17	0.3
"712"	0.92	0.76
"713"	0.97	0.83
"714"	0.35	0.4
"715"	0.18	0.25
"716"	0.47	0.55
"717"	0.25	0.34
"718"	0.25	0.25
"719"	0.15	0.22
"720"	0.38	0.4
"721"	0.31	0.41
"722"	0.72	0.56
"723"	0.76	0.74
"724"	0.58	0.36
"725"	0.17	0.34
"726"	0.24	0.24
"727"	0.42	0.5
"728"	0.09	0.2
"729"	0.2	0.21
"730"	0.54	0.46
"731"	0.88	0.73
"732"	0.25	0.24
"733"	0.86	0.61
"734"	0.24	0.31
"735"	0.07	0.1
"736"	0.5	0.38
"737"	0.45	0.23
"738"	0.19	0.26
"739"	0.24	0.25
"740"	0.43	0.33
"741"	0.86	0.66
"742"	0.1	0.08
"743"	0.18	0.29
"744"	0.18	0.25
"745"	0.31	0.29
"746"	0.23	0.16
"747"	0.91	0.72
"748"	0.32	0.26
"749"	0.81	0.71
"750"	0.34	0.29
"751"	0.94	0.81
"752"	0.29	0.23
"753"	0.9	0.81
"754"	0.51	0.54
"755"	0.98	0.93
"756"	0.56	0.72
"757"	0.94	0.54
"758"	0.22	0.37
"759"	0.13	0.18
"760"	0.5	0.47
"761"	0.23	0.14
"762"	0.14	0.14
"763"	0.22	0.24
"764"	0.31	0.5
"765"	0.21	0.3
"766"	0.75	0.61
"767"	0.31	0.26
"768"	0.11	0.08
"769"	0.22	0.3
"770"	0.37	0.44
"771"	0.05	0.1
"772"	0.14	0.18
"773"	0.88	0.67
"774"	0.77	0.86
"775"	0.26	0.22
"776"	0.37	0.46
"777"	0.83	0.71
"778"	0.72	0.65
"779"	0.2	0.11
"780"	0.63	0.69
"781"	0.41	0.37
"782"	0.44	0.16
"783"	0.23	0.33
"784"	0.86	0.82
"785"	0.97	0.63
"786"	0.19	0.16
"787"	0.07	0.19
"788"	0.25	0.29
"789"	0.04	0.28
"790"	0.79	0.73
"791"	0.65	0.62
"792"	0.28	0.33
"793"	0.23	0.33
"794"	0.58	0.56
"795"	0.14	0.15
"796"	0.08	0.06
"797"	0.18	0.19
"798"	0.46	0.51
"799"	0.2	0.36
"800"	0.13	0.41
"801"	0.14	0.15
"802"	0.27	0.26
"803"	0.27	0.33
"804"	0.95	0.76
"805"	0.28	0.32
"806"	0.66	0.62
"807"	0.1	0.09
"808"	0.25	0.28
"809"	0.07	0.14
"810"	0.17	0.29
"811"	0.14	0.5
"812"	0.58	0.4
"813"	0.23	0.14
"814"	0.81	0.65
"815"	0.06	0.18
"816"	0.33	0.21
"817"	0.31	0.49
"818"	0.5	0.47
"819"	0.17	0.21
"820"	0.07	0.26
"821"	0.06	0.21
"822"	0.84	0.84
"823"	0.34	0.37
"824"	0.22	0.18
"825"	0.4	0.28
"826"	0.22	0.24
"827"	0.84	0.91
"828"	0.56	0.48
"829"	0.35	0.26
"830"	0.04	0.02
"831"	0.16	0.22
"832"	0.21	0.37
"833"	0.41	0.41
"834"	0.62	0.71
"835"	0.06	0.12
"836"	0.91	0.89
"837"	0.3	0.3
"838"	0.35	0.26
"839"	0.77	0.55
"840"	0.62	0.75
"841"	0.62	0.38
"842"	0.83	0.83
"843"	0.7	0.65
"844"	0.13	0.23
"845"	0.4	0.35
"846"	0.41	0.32
"847"	0.37	0.47
"848"	0.93	0.78
"849"	0.1	0.07
"850"	0.96	0.82
"851"	0.48	0.49
"852"	0.78	0.65
"853"	0.09	0.16
"854"	0.98	0.6
"855"	0.06	0.08
