gene	Slide8_001_PanCK	Slide8_002_PanCK	Slide8_004_PanCK	Slide8_005_PanCK	Slide8_006_PanCK	Slide1_001_PanCK	Slide1_002_PanCK	Slide1_003_PanCK	Slide1_004_PanCK	Slide1_006_PanCK	Slide1_007_PanCK	Slide1_008_PanCK	Slide1_009_PanCK	Slide7_001_PanCK	Slide7_003_PanCK	Slide7_004_PanCK	Slide7_005_PanCK	Slide7_007_PanCK	Slide7_008_PanCK	Slide3_001_PanCK	Slide3_002_PanCK	Slide3_005_PanCK	Slide3_006_PanCK	Slide3_008_PanCK	Slide3_009_PanCK	Slide3_010_PanCK	Slide4_004_PanCK	Slide2_001_PanCK	Slide2_002_PanCK	Slide2_003_PanCK	Slide2_004_PanCK	Slide6_003_PanCK	Slide6_004_PanCK	Slide6_005_PanCK	Slide6_006_PanCK	Slide5_001_PanCK	Slide5_003_PanCK	Slide5_004_PanCK	Slide5_005_PanCK	Slide5_006_PanCK
CDK14	1.42753709405143	3.33091988612001	8.32729971530002	6.66183977224001	2.85507418810286	1.82122238377785	1.97387845103408	2.23052670945536	2.67133178985862	1.85349574308291	1.73343789991959	1.68552572550651	2.34116083424435	1.88704474235125	3.0659603497241	2.28647890487899	1.56136869661875	1.72288959626897	2.87670353801273	6.10668645788668	5.16866878880691	6.14939055899078	3.74728487188501	3.17951443675091	3.14058160691315	7.99420772668802	0.999275965836002	3.63373078485819	1.66545994306	5.71014837620573	2.28405935048229	4.70247513334589	4.66328784056801	7.32802374946402	2.49818991459001	5.78528190747159	5.93320104715126	3.59739347700961	7.32802374946402	5.47990045781033
VPS13A	1.42753709405143	26.64735908896	9.99275965836002	4.99637982918001	9.99275965836002	8.14757382216405	6.16837015948149	6.87002226512252	6.43098393854853	6.84987557226292	5.81211531149511	7.82565515413736	6.79507656768481	3.64542734317855	3.74728487188501	2.87926973206984	3.12273739323751	4.30722399067242	3.63373078485819	7.77214640094668	3.10120127328414	5.38071673911693	6.87002226512252	5.90481252539456	5.42464095739544	5.99565579501601	4.99637982918001	3.63373078485819	4.99637982918001	5.71014837620573	2.85507418810286	7.05371270001884	5.99565579501601	5.32947181779201	4.99637982918001	7.88902078291581	5.93320104715126	7.99420772668802	6.66183977224001	8.05867714383873
CHPF2	1.42753709405143	3.33091988612001	3.33091988612001	8.32729971530002	4.2826112821543	5.84708239002361	7.89551380413631	6.42391692323144	5.73841643747407	5.96342108644066	7.34161934083593	5.89934003927278	5.82435134372984	5.2751478024819	4.76927165512637	4.40358900198916	5.30865356850376	3.44577919253794	6.81324522160911	7.21699308659335	6.54698046582208	5.38071673911693	8.11911722241752	8.17589426593092	5.13913353858515	7.19478695401921	2.99782789750801	7.26746156971638	11.65821960142	11.4202967524115	13.7043561028937	5.29028452501413	9.99275965836002	9.99275965836002	8.11911722241752	6.8371513451937	8.74366470106502	9.19333888569122	7.99420772668802	7.41398297233163
TSPAN15	17.1304451286172	3.33091988612001	19.98551931672	18.32005937366	12.8478338464629	16.7744166926907	13.9405165604282	16.6843397867261	18.0067550279359	15.1503130304168	18.3540483520898	16.494073171028	19.4716059628615	14.4101598506823	9.42498922322593	9.99275965836002	10.3050333976838	6.89155838507588	9.23573241151457	16.0994461162467	20.6746751552276	18.0638347670354	23.732804188605	13.6264904432182	14.8463857781349	21.5843608620577	20.984795282556	20.8939520129346	33.3091988612001	24.2681305988743	23.1261009236332	19.3977099250518	19.98551931672	19.319335339496	16.8627819234825	17.3558457224148	14.0523182695688	14.7892842943728	16.321507441988	12.893883430142
SLX4IP	4.2826112821543	3.33091988612001	3.33091988612001	3.33091988612001	1.42753709405143	3.06732190952058	3.33091988612001	2.67663205134644	2.57239357541941	2.33701637171323	2.75310725281347	2.6486832829388	2.51246528553052	3.34521567962267	3.97439304593864	3.89548257868272	2.81046365391376	3.44577919253794	4.08794713296546	2.22061325741334	4.47951295029932	3.84336909936924	4.99637982918001	8.6301106140382	4.2826112821543	3.99710386334401	3.99710386334401	2.72529808864364	4.99637982918001	1.42753709405143	2.56956676929258	7.05371270001884	5.32947181779201	4.66328784056801	2.49818991459001	6.04824926690212	5.30865356850376	7.59449734035362	3.99710386334401	6.44694171507098
DLL1	4.2826112821543	3.33091988612001	1.66545994306	1.66545994306	4.2826112821543	1.91707619345036	1.97387845103408	1.8736424359425	2.67133178985862	2.57877668602839	2.34523951165592	1.68552572550651	1.25623264276526	3.34521567962267	3.17951443675091	3.30269175149187	3.12273739323751	3.79035711179173	3.17951443675092	9.43760634400669	4.47951295029932	6.14939055899078	5.62092730782751	6.8132452216091	7.99420772668802	7.19478695401921	3.99710386334401	2.72529808864364	6.66183977224001	4.2826112821543	4.56811870096458	4.70247513334589	7.99420772668802	9.32657568113602	7.49456974377002	7.36308606405475	8.43139096174127	7.59449734035362	8.66039170391202	8.70337131534583
COL14A1	14.2753709405143	9.99275965836002	4.99637982918001	8.32729971530002	11.4202967524115	2.97146809984806	2.09724585422371	2.23052670945536	2.4734553609802	1.69232220020613	2.24327257636653	2.6486832829388	2.3982623180064	0.771972849143693	0.908432696214547	0.931528442728476	1.56136869661875	1.03373375776138	0.908432696214548	3.88607320047334	6.20240254656829	4.61204291924309	5.62092730782751	4.54216348107274	3.42608902572344	2.3982623180064	3.99710386334401	2.72529808864364	1.66545994306	4.2826112821543	5.42464095739544	2.93904695834118	4.66328784056801	5.99565579501601	1.249094957295	7.10011870462423	9.68048591903627	9.59304927202562	5.32947181779201	4.83520628630324
SPACA4	1.42753709405143	3.33091988612001	4.99637982918001	4.99637982918001	1.42753709405143	2.20463762246792	2.34398066060297	2.76585311972465	2.07770250322337	2.90112377178194	2.24327257636653	1.08355225211133	1.71304451286172	1.71549522031932	0.908432696214547	1.10089725049729	0.312273739323751	1.72288959626897	0.908432696214548	6.10668645788668	3.79035711179173	3.07469527949539	3.12273739323751	5.90481252539456	5.13913353858515	2.3982623180064	3.99710386334401	2.72529808864364	1.66545994306	2.85507418810286	5.13913353858515	3.52685635000942	1.332367954448	4.66328784056801	4.99637982918001	3.9445103914579	3.74728487188501	1.998551931672	3.66401187473201	2.57877668602839
CAPN13	4.2826112821543	13.32367954448	9.99275965836002	9.99275965836002	8.56522256430859	16.5827090733457	14.3106187699971	17.3088872653736	14.6428557370028	14.1832717731561	15.6009410992763	13.243416414694	18.7292866739548	23.6738340404066	19.0770866205055	20.0702037206044	16.238234444835	16.3674511645552	15.5947612850164	10.5479129727134	11.715649254629	10.7614334782339	13.1154970515975	9.99275965836002	12.2768190088423	12.3910219763664	17.986967385048	6.35902887350183	6.66183977224001	9.99275965836002	5.13913353858515	2.93904695834118	4.66328784056801	2.66473590889601	9.99275965836002	35.7635608825517	41.2201335907351	41.1701697924433	47.2990623829041	53.1872691493356
DNAAF8	2.85507418810286	6.66183977224001	6.66183977224001	6.66183977224001	4.2826112821543	3.54659095788317	2.96081767655112	3.03351632485929	3.95752857756832	3.7875782576042	2.95704112339225	4.09341961908724	4.11130683086812	1.32950879574747	1.36264904432182	1.86305688545695	1.8736424359425	1.89517855589587	1.36264904432182	5.55153314353335	2.41204543477656	7.30240128880155	4.37183235053251	6.35902887350183	3.71159644453372	4.39681424967841	8.99348369252402	8.17589426593093	1.66545994306	4.2826112821543	4.2826112821543	5.29028452501413	2.66473590889601	3.33091988612001	3.74728487188501	3.9445103914579	1.8736424359425	3.19768309067521	1.998551931672	1.2893883430142
TFAM	1.42753709405143	13.32367954448	4.99637982918001	14.98913948754	1.42753709405143	4.98439810297095	4.93469612758519	5.88859051296215	3.75965214868991	4.4322724291113	3.46687579983919	4.69539309248242	4.56811870096458	3.81697686521048	3.63373078485819	2.62521652041661	3.12273739323751	2.92891231365725	3.63373078485819	8.32729971530002	5.85782462731449	3.84336909936924	4.99637982918001	8.17589426593092	6.85217805144687	3.99710386334401	2.99782789750801	6.35902887350183	3.33091988612001	9.99275965836002	7.13768547025716	5.87809391668237	3.99710386334401	5.99565579501601	4.99637982918001	3.68154303202738	4.99637982918001	7.59449734035362	3.99710386334401	5.15755337205678
CCDC9B	7.13768547025716	3.33091988612001	1.66545994306	3.33091988612001	1.42753709405143	1.72536857410533	2.83745027336149	1.96286350432072	1.87982607434495	1.69232220020613	1.73343789991959	1.80592042018555	2.3982623180064	0.900634990667642	1.47620313134864	1.77837248157255	0.312273739323751	1.20602271738828	1.51405449369091	7.77214640094668	4.13493503104553	3.07469527949539	4.37183235053251	8.17589426593092	2.28405935048229	4.39681424967841	1.998551931672	5.45059617728728	11.65821960142	5.71014837620573	6.56667063263659	11.1683784416965	9.99275965836002	6.66183977224001	8.74366470106502	3.15560831316632	2.18591617526625	1.5988415453376	1.66545994306	3.86816502904259
CENPB	9.99275965836002	6.66183977224001	6.66183977224001	3.33091988612001	7.13768547025716	9.4895271575793	10.2394944647393	8.74366470106503	9.00337751396793	9.91217288692163	8.36128869372981	6.86249759670507	9.36464333697739	6.94775564229323	9.08432696214547	7.70628075348103	8.43139096174127	8.61444798134485	8.02448881656184	7.21699308659335	7.92529214283726	7.30240128880155	6.24547478647501	7.26746156971638	5.13913353858515	7.59449734035362	7.99420772668801	7.26746156971638	8.32729971530002	8.56522256430859	8.56522256430859	11.7561878333647	11.991311590032	13.32367954448	11.241854615655	5.78528190747159	5.62092730782751	4.79652463601281	10.325851646972	5.80224754356388
MAP1LC3A	5.71014837620573	3.33091988612001	1.66545994306	4.99637982918001	7.13768547025716	2.1087838127954	3.45428728930964	3.30117952999394	2.37451714654099	2.82053700034355	3.16097499397103	3.49144614569205	1.94145044790995	4.2887380507983	2.27108174053637	3.30269175149187	5.93320104715126	2.75662335403035	3.4823253354891	4.99637982918001	6.20240254656829	3.45903218943232	4.37183235053251	8.6301106140382	5.42464095739544	6.39536618135041	5.99565579501601	9.99275965836002	13.32367954448	8.56522256430859	5.42464095739544	5.29028452501413	2.66473590889601	5.32947181779201	1.8736424359425	2.10373887544421	0.936821217971252	3.59739347700961	2.99782789750801	3.86816502904259
HARS1	1.42753709405143	3.33091988612001	8.32729971530002	8.32729971530002	7.13768547025716	5.08025191264346	5.55153314353334	6.7808011967443	6.62886036742694	5.56048722924872	7.03571853496777	6.621708207347	5.53884392491955	5.74690898806971	4.99637982918001	4.48827340587357	4.37183235053251	4.82409086955311	6.35902887350184	5.55153314353335	6.54698046582208	9.60842274842309	1.8736424359425	5.90481252539456	6.2811632138263	4.79652463601281	4.99637982918001	10.9011923545746	3.33091988612001	14.2753709405143	11.1347893336012	2.93904695834118	4.66328784056801	2.66473590889601	3.12273739323751	5.25934718861054	5.62092730782751	6.79507656768481	5.32947181779201	7.09163588657808
ARMC1	2.85507418810286	16.6545994306	14.98913948754	1.66545994306	7.13768547025716	6.03879000936865	5.92163535310223	5.71014837620573	4.74903429308199	6.36635494363259	7.03571853496777	5.41776126055663	6.10985876254012	7.0335304033092	7.38101565674319	6.43601469521493	9.99275965836002	5.8578246273145	5.45059617728729	4.99637982918001	7.92529214283726	6.14939055899078	3.12273739323751	8.6301106140382	7.70870030787773	9.99275965836002	5.99565579501601	3.63373078485819	6.66183977224001	2.85507418810286	7.70870030787773	4.70247513334589	7.32802374946402	9.99275965836002	4.37183235053251	4.47044511031896	4.05955861120876	7.59449734035362	5.66256380640401	4.19051211479614
DENND6A	14.2753709405143	6.66183977224001	8.32729971530002	3.33091988612001	8.56522256430859	12.5568490670999	10.2394944647393	11.3310756840332	12.0704621615834	14.1832717731561	10.4006273995176	10.4743384370762	12.1626160413182	3.60253996267057	3.17951443675091	4.14953579033594	3.12273739323751	6.71926942544898	4.54216348107274	2.77576657176667	7.23613630432967	9.22408583848617	6.87002226512252	9.53854331025275	8.2797151454983	11.1918908173632	2.99782789750801	7.26746156971638	6.66183977224001	7.13768547025716	7.42319288906745	8.22933148335531	6.66183977224001	5.32947181779201	7.49456974377002	12.8854006120958	7.18229600444627	7.19478695401921	6.32874778362801	3.86816502904259
PPM1F	1.42753709405143	6.66183977224001	6.66183977224001	6.66183977224001	2.85507418810286	2.30049143214044	3.20755248293038	2.40896884621179	3.06708464761545	2.25642960027484	2.44720644694531	2.6486832829388	2.45536380176846	4.37451281181426	3.29306852377773	4.06485138645153	4.68410608985626	3.44577919253794	5.45059617728729	6.10668645788668	7.58071422358346	5.38071673911693	4.37183235053251	4.08794713296546	4.56811870096458	7.59449734035362	2.99782789750801	2.72529808864364	6.66183977224001	5.71014837620573	4.85362611977487	9.99275965836002	5.99565579501601	4.66328784056801	7.49456974377002	2.8926409537358	5.30865356850376	4.79652463601281	6.32874778362801	6.12459462931743
USP5	2.85507418810286	6.66183977224001	6.66183977224001	3.33091988612001	7.13768547025716	7.66830477380145	7.52541159456742	9.10054897457788	8.70656287065032	9.67041257260647	9.38095804662369	7.46447107010026	10.6779774635047	16.9834026811612	12.8316118340305	14.142295448696	14.98913948754	12.0602271738828	14.3835176900637	12.2133729157734	6.20240254656829	6.91806437886463	5.62092730782751	9.08432696214547	9.42174482073945	10.3924700446944	4.99637982918001	9.08432696214547	3.33091988612001	5.71014837620573	6.2811632138263	7.05371270001884	8.66039170391202	9.99275965836002	9.99275965836002	12.0964985338042	7.80684348309377	6.39536618135041	8.66039170391202	9.99275965836002
