"b.1"	"b.2"
"61"	3.16136312735103	-4.62884828794962
"62"	2.67537382208874	-3.86804726403619
"63"	2.79357616539313	-4.00094497627019
"64"	2.84884107211821	-4.09878132921245
"65"	2.98493823855722	-4.29341247404295
"66"	2.77240561421178	-3.95550790737066
"67"	2.75744207793229	-3.91770384968268
"68"	2.90696234802046	-3.98744368229949
"69"	2.90930704054682	-3.97127141619148
"70"	2.96363765464198	-3.98003343185419
"71"	2.95061161707077	-3.81431854195904
"72"	3.03141709045695	-3.8822443722103
"73"	3.03690831146682	-3.9423279115501
"74"	2.98125138050287	-3.91994580353873
"75"	3.14313454596334	-4.20422827436429
"76"	3.2821698929423	-4.51143920497283
"77"	3.48625321210594	-4.78901945668144
"78"	3.6789363773334	-5.11543179563173
"79"	3.45583132823745	-4.82424434348827
"80"	3.31765673511041	-4.75861682111664
"81"	3.10997765041009	-4.61959897969314
"82"	2.9133307804253	-4.32595418550646
"83"	2.90297032381082	-4.26108343301208
"84"	3.1114833026853	-4.48434693299239
"85"	3.21288122628483	-4.63449496473031
"86"	3.27969557812424	-4.75884618921707
"87"	3.42098053288587	-4.90158081072498
"88"	3.29168939071399	-4.77491453804016
"89"	3.33650255884356	-4.88210216671744
"90"	3.48327888973237	-4.92153944512757
"91"	3.65165982828773	-5.20244673781996
"92"	3.21040407209885	-4.5995802866762
"93"	3.01256231363478	-4.30930823803676
"94"	3.49202119992775	-4.90917271755453
"95"	3.66983241361376	-5.21375417325616
"96"	3.89355310428583	-5.66092147340615
"97"	3.8153368458063	-5.46829117042348
"98"	3.60852665484097	-5.17490134388099
"99"	3.69635492849203	-5.38475984127226
"100"	3.27794348806577	-4.91377328191588
"101"	3.42195904048738	-5.12528216935594
"102"	3.44262323894299	-5.1007230626454
"103"	3.67873352479323	-5.50713904850163
"104"	3.73139455055398	-5.62023751154156
"105"	3.69523180178984	-5.53789804660506
"106"	3.48560823366003	-5.18176768644539
"107"	3.34439430305946	-4.98091492261568
"108"	3.28787880060005	-4.9427875098355
"109"	3.26687929801017	-4.90055015036268
"110"	2.99686410255581	-4.51002992852417
"111"	2.9088459651792	-4.43409600213122
"112"	2.71269267247823	-4.23073338344165
"113"	2.75476974193179	-4.15737090773321
"114"	2.8695390236306	-4.24581601512596
"115"	2.93233884250531	-4.29859021044929
"116"	3.0665839841894	-4.50645263607656
"117"	3.30061243120678	-4.85249052722346
"118"	3.16639622582585	-4.60230423151459
