"pip.1"	"pip.2"	"pip.3"	"pip.4"
"390"	0.4325	0.03	1	0.5975
"391"	0.585	0.3025	0.295	0.825
"392"	0.3775	0.1775	0.1375	0.1775
"393"	0.36	0.25	0.2375	0.4675
"394"	0.65	0.6	0.46	0.9375
"395"	0.55	0	0.3275	0.3675
"396"	0.3475	1	0.35	0.22
"397"	0.4775	1	0.3875	0.1125
"398"	0.7975	0.3425	0.5	0.9575
"399"	0.4075	0.2225	0.485	0.2425
"400"	0.53	0.295	0.365	0.5525
"401"	0.32	0.24	0.42	0.3975
"402"	0.545	0	0.425	0.755
"403"	0.59	0.3025	0.9325	0.635
"404"	0.245	0.205	0.17	0.085
"405"	0.3	0.1875	0.3575	0.1375
"406"	0.25	0.3725	0.2425	0.105
"407"	0.35	0.01	0	0.03
"408"	0.63	0.3475	0.47	0.7575
"409"	0.5175	0	0.2675	0.22
"410"	0.4075	0.2225	0.31	0.4625
"411"	0.3175	0.4125	0.245	0.1625
"412"	0.74	0.3075	0.0975	0.9
"413"	0.3075	0.8775	0.15	0.1525
"414"	0.3825	0	0.2975	0.215
"415"	0.56	0	0.0775	0.7975
"416"	0.8075	1	0	0.8575
"417"	0.5575	0.2175	0.1025	0.6175
"418"	0.6075	0	0.3975	0.41
"419"	0.7925	0.9525	0.4925	0.9625
"420"	0.26	0.115	0	0.405
"421"	0.3875	0.205	0.0175	0.1025
"422"	0.8175	0.28	0.505	0.99
"423"	0.4125	0.34	0	0.665
"424"	0.275	0.0825	0	0.24
"425"	0.26	0	0.0425	0.09
"426"	0.465	0	0.1725	0.16
"427"	0.2675	0.17	0.0025	0.08
"428"	0.5375	0.87	0.1325	0.7075
"429"	0.325	0.2875	0.115	0.17
"430"	0.3575	0	0.3325	0.4475
"431"	0.2425	0.51	0.025	0.065
"432"	0.32	0.235	0.0275	0.1825
"433"	0.185	0.7925	0	0.115
"434"	0.395	0.2125	0.3325	0.095
"435"	0.195	0.2275	0	0.0525
"436"	0.4625	0.155	0.385	0.285
"437"	0.63	0	0.2825	0.7125
"438"	0.255	0.0425	0.08	0.0875
"439"	0.39	0.2525	0.19	0.2475
"440"	0.545	0.2825	0.255	0.58
"441"	0.44	0.42	0	0.21
"442"	0.385	0.0675	0.2475	0.0675
"443"	0.3575	0.2825	0	0.33
"444"	0.42	0.15	0.115	0.2725
"445"	0.29	0.095	0.0325	0.1375
"446"	0.7875	0.2475	0.6275	0.915
"447"	0.62	0.0075	0.0275	0.65
"448"	0.33	0.0625	1	0.2975
"449"	0.865	0.8525	0.125	0.94
"450"	0.285	0.0775	0.8125	0.1125
"451"	0.915	0.3	0	0.79
"452"	0.195	0.165	0	0.205
"453"	0.305	0.3225	0.245	0.3475
"454"	0.335	0	0.44	0.215
"455"	0.2875	0.095	0.0775	0.0725
"456"	0.4	0.1025	0.055	0.1375
"457"	0.785	0.1575	0.315	0.7375
"458"	0.35	0.335	0.3075	0.24
"459"	0.3375	0.2475	0	0.115
"460"	0.57	0.1525	0.1825	0.5025
"461"	0.2475	0	0.99	0.2875
"462"	0.195	0.01	0.0075	0.165
"463"	0.6075	1	0.25	0.595
"464"	0.395	0.4	0.18	0.1075
"465"	0.47	0.0625	0.25	0.145
"466"	0.3325	0.215	0	0.2225
"467"	0.4625	0.1475	0.5475	0.2925
"468"	0.315	0.0125	0.2025	0.17
"469"	0.255	0	0.3025	0.1625
"470"	0.4075	0.2475	0.89	0.335
"471"	0.0875	0.0025	0.815	0.0575
"472"	0.2125	0.3125	0.1425	0.2
"473"	0.24	0.2675	0.28	0.0725
"474"	0.65	0.16	0.005	0.7575
"475"	0.32	0.1425	0	0.1425
"476"	0.6975	0.3225	0.29	0.74
"477"	0.68	0.85	0.31	0.7925
"478"	0.13	0.215	0.125	0.1175
"479"	0.49	0.6925	1	0.4125
"480"	0.43	0.1	0.13	0.1175
"481"	0.6275	0.0575	0.3875	0.5825
"482"	0.5925	0.24	0.16	0.41
"483"	0.2625	0.15	0	0.3275
"484"	0.285	0	0.4925	0.125
"485"	0.7775	0.385	0.09	0.93
"486"	0.415	0	0	0.3725
"487"	0.2725	0.14	0.2	0.0975
"488"	0.45	0.2225	0.205	0.3825
"489"	0.3275	0.79	0.1875	0.475
"490"	0.375	0.205	0.17	0.05
"491"	0.585	0.1525	0.3025	0.58
"492"	0.565	0.28	0	0.5
"493"	0.8325	0.0875	0.195	0.7675
"494"	0.635	0.15	0	0.92
"495"	0.665	0.3525	0.395	0.865
"496"	0.62	0.1125	1	0.4875
"497"	0.26	0.3225	0	0.4275
"498"	0.15	0.1375	0.7925	0.225
"499"	0.44	0.0475	0.25	0.1125
"500"	0.4175	0.8275	0.365	0.6475
"501"	0.3	0.255	0	0.2675
"502"	0.31	0.1725	0	0.0475
"503"	0.7475	0.5275	0.07	0.925
"504"	0.755	0.3725	1	0.76
"505"	0.1425	0.2325	0	0.1975
"506"	0.85	0.445	1	0.8525
"507"	0.2675	0.1325	0	0.12
"508"	0.5175	0	0.375	0.66
"509"	0.365	0.1675	0.1825	0.26
"510"	0.4175	0.285	0.405	0.2325
"511"	0.4	0.3025	1	0.3625
"512"	0.805	0.2325	0.3775	0.8775
"513"	0.2075	0	0.3925	0.075
"514"	0.16	0.2775	0.96	0.235
"515"	0.1075	0.2175	0.1925	0.0975
"516"	0.5125	1	0.34	0.4
"517"	0.0825	0.465	0.0125	0.1075
"518"	0.5725	0.14	0	0.375
"519"	0.36	0.0725	0.04	0.22
"520"	0.355	0.1825	0.3325	0.2425
"521"	0.385	0	0.365	0.185
"522"	0.4475	0.1525	0.0425	0.3475
"523"	0.4025	0.0425	0.155	0.185
"524"	0.5875	0.1	0.3275	0.375
"525"	0.75	0.35	0.45	0.865
"526"	0.7075	0.2825	0.0025	0.5725
"527"	0.7125	0	0.075	0.85
"528"	0.6275	1	1	0.555
"529"	0.6425	0.2625	0	0.675
"530"	0.9475	1	0.0175	0.965
"531"	0.405	0.115	0	0.0875
"532"	0.42	0.21	0.165	0.115
"533"	0.855	1	0	0.755
"534"	0.2725	0	0.275	0.1025
"535"	0.315	0.4425	0.06	0.23
"536"	0.7625	0.5225	0.4575	0.9825
"537"	0.3025	0.195	0.1375	0.08
"538"	0.335	1	0.26	0.2075
"539"	0.4075	1	0.235	0.255
"540"	0.2325	0.545	0	0.1275
"541"	0.7925	0.3075	0.04	0.98
"542"	0.3275	0.56	0.0375	0.085
"543"	0.2325	0.23	0.11	0.0775
"544"	0.4175	0.1925	0.2525	0.09
"545"	0.385	0.1975	0.2425	0.3675
"546"	0.4175	0.19	0.23	0.5575
"547"	0.585	0.435	1	0.315
"548"	0.3125	0.1175	0.2475	0.1175
"549"	0.2875	1	0	0.13
"550"	0.8225	0	0.515	0.97
"551"	0.5375	0.0075	0.07	0.5875
"552"	0.5625	0.35	0.135	0.65
"553"	0.3625	0	0.225	0.5325
"554"	0.27	0.2175	0.0825	0.0675
"555"	0.335	0.205	0.4075	0.135
"556"	0.3275	0.315	0.3575	0.26
"557"	0.2375	0	0.535	0.0675
"558"	0.4825	0.23	1	0.715
"559"	0.755	0	0.64	0.91
"560"	0.74	0.4175	0.305	0.8425
"561"	0.595	0.455	0.0875	0.3525
"562"	0.2475	0.26	0.23	0.095
"563"	0.4625	1	0.655	0.1175
"564"	0.45	0.085	0.435	0.1975
"565"	0.3225	0.2875	0.0475	0.195
"566"	0.32	0.255	0.005	0.095
"567"	0.4775	0.4375	0.4775	0.385
"568"	0.375	0.1075	0.09	0.2825
"569"	0.365	0.305	0.3275	0.585
"570"	0.555	0.36	0.0425	0.5125
"571"	0.4075	0.925	0.045	0.3325
"572"	0.7775	0	0	0.735
"573"	0.3425	0.285	0.585	0.2275
"574"	0.7	0.4475	0.215	0.715
"575"	0.47	0.09	0	0.285
"576"	0.98	0.4875	1	0.9725
"577"	0.49	0.2175	0.32	0.4625
"578"	0.7	0.3775	1	0.9025
"579"	0.6925	0.3	0.425	0.8575
"580"	0.26	0.035	0.1325	0.065
"581"	0.3025	0.2775	0	0.4425
"582"	0.3975	0.235	0	0.31
"583"	0.8725	0	0.4375	0.975
"584"	0.9225	0.355	0.9575	0.885
"585"	0.285	0	0	0.1
"586"	0.7175	0.78	0.3375	0.5825
"587"	0.9625	0.11	0	0.95
"588"	0.5525	0.3625	0.3325	0.4475
"589"	0.5125	0.0475	0.6675	0.4575
"590"	0.2675	0.46	0.14	0.1625
"591"	0.46	0.355	0.4175	0.2175
"592"	0.7	0.2225	0.485	0.8
"593"	0.52	0.58	0.3775	0.7875
"594"	0.8875	0	0.48	0.9525
